
=== SAN SANG — DO TRONG 30 GIAY ===
Pressure(Pa),Raw(m),Kalman(m),State
0.00s,100849.53,0.144,0.130,0.00
0.05s,100849.77,0.123,0.126,0.00
0.10s,100849.36,0.186,0.146,0.00
0.15s,100848.68,0.215,0.164,0.00
0.20s,100848.85,0.199,0.172,0.00
0.25s,100849.03,0.186,0.175,0.00
0.30s,100848.85,0.199,0.179,0.00
0.35s,100848.85,0.199,0.182,0.00
0.40s,100848.85,0.199,0.185,0.00
0.45s,100849.03,0.186,0.185,0.00
0.50s,100849.60,0.139,0.178,0.00
0.55s,100849.25,0.168,0.177,0.00
0.60s,100849.42,0.152,0.173,0.00
0.65s,100850.16,0.091,0.162,0.00
0.70s,100850.00,0.104,0.154,0.00
0.75s,100850.50,0.062,0.142,0.00
0.80s,100850.84,0.036,0.128,0.00
0.85s,100850.84,0.036,0.115,0.00
0.90s,100851.24,0.001,0.100,0.00
0.95s,100851.07,0.014,0.089,0.00
1.00s,100850.90,0.030,0.081,0.00
1.05s,100850.73,0.043,0.076,0.00
1.10s,100850.22,0.086,0.077,0.00
1.15s,100850.22,0.086,0.078,0.00
1.20s,100850.05,0.102,0.081,0.00
1.25s,100850.57,0.057,0.078,0.00
1.30s,100849.82,0.120,0.084,0.00
1.35s,100850.39,0.073,0.082,0.00
1.40s,100849.82,0.120,0.087,0.00
1.45s,100849.89,0.115,0.091,0.00
1.50s,100849.14,0.176,0.102,0.00
1.55s,100849.71,0.128,0.105,0.00
1.60s,100849.89,0.115,0.107,0.00
1.65s,100849.78,0.123,0.109,0.00
1.70s,100849.43,0.152,0.114,0.00
1.75s,100850.52,0.062,0.108,0.00
1.80s,100849.83,0.117,0.109,0.00
1.85s,100850.68,0.046,0.101,0.00
1.90s,100850.52,0.062,0.096,0.00
1.95s,100849.94,0.123,0.099,0.00
2.00s,100850.28,0.080,0.097,0.00
2.05s,100850.85,0.033,0.088,0.00
2.10s,100850.85,0.004,0.077,0.00
2.15s,100850.63,0.051,0.074,0.00
2.20s,100850.63,0.051,0.071,0.00
2.25s,100850.46,0.067,0.070,0.00
2.30s,100850.79,0.038,0.066,0.00
2.35s,100851.13,0.012,0.059,0.00
2.40s,100850.96,0.025,0.054,0.00
2.45s,100850.85,0.033,0.052,0.00
2.50s,100850.52,0.062,0.053,0.00
2.55s,100851.02,0.020,0.049,0.00
2.60s,100850.71,0.046,0.048,0.00
2.65s,100850.03,0.102,0.055,0.00
2.70s,100850.21,0.088,0.060,0.00
2.75s,100850.71,0.046,0.058,0.00
2.80s,100850.89,0.030,0.054,0.00
2.85s,100851.22,0.001,0.047,0.00
2.90s,100851.22,0.001,0.041,0.00
2.95s,100850.35,0.075,0.046,0.00
3.00s,100850.03,0.102,0.053,0.00
3.05s,100848.67,0.215,0.074,0.00
3.10s,100848.31,0.247,0.097,0.00
3.15s,100848.14,0.260,0.119,0.00
3.20s,100848.91,0.197,0.129,0.00
3.25s,100848.57,0.226,0.142,0.00
3.30s,100848.00,0.271,0.159,0.00
3.35s,100848.00,0.271,0.173,0.00
3.40s,100847.80,0.289,0.189,0.00
3.45s,100847.80,0.289,0.202,0.00
3.50s,100848.50,0.228,0.205,0.00
3.55s,100848.31,0.247,0.211,0.00
3.60s,100848.67,0.215,0.211,0.00
3.65s,100849.02,0.186,0.208,0.00
3.70s,100849.86,0.115,0.196,0.00
3.75s,100850.03,0.102,0.183,0.00
3.80s,100849.69,0.096,0.172,0.00
3.85s,100849.86,0.115,0.164,0.00
3.90s,100849.75,0.125,0.159,0.00
3.95s,100849.58,0.091,0.150,0.00
4.00s,100849.47,0.149,0.150,0.00
4.05s,100848.96,0.191,0.156,0.00
4.10s,100849.47,0.149,0.155,0.00
4.15s,100849.71,0.128,0.151,0.00
4.20s,100850.10,0.096,0.144,0.00
4.25s,100849.77,0.123,0.141,0.00
4.30s,100849.42,0.152,0.143,0.00
4.35s,100848.41,0.236,0.155,0.00
4.40s,100847.90,0.279,0.171,0.00
4.45s,100847.90,0.279,0.185,0.00
4.50s,100847.39,0.324,0.204,0.00
4.55s,100847.05,0.350,0.223,0.00
4.60s,100844.96,0.527,0.263,0.00
4.65s,100844.28,0.582,0.305,0.00
4.70s,100844.28,0.582,0.342,0.00
4.75s,100842.41,0.738,0.394,0.00
4.80s,100841.22,0.839,0.453,0.00
4.85s,100840.71,0.881,0.509,0.00
4.90s,100839.36,0.992,0.573,0.00
4.95s,100839.02,1.024,0.632,0.00

>>> [NHAC LEN CAO] <<<
5.00s,100839.42,0.989,0.679,1.00
5.05s,100839.59,0.974,0.718,1.00
5.10s,100839.36,0.992,0.754,1.00
5.15s,100839.53,0.979,0.784,1.00
5.20s,100839.19,1.008,0.813,1.00
5.25s,100838.96,1.026,0.841,1.00
5.30s,100839.47,0.984,0.860,1.00
5.35s,100839.70,0.966,0.874,1.00
5.40s,100839.53,0.979,0.888,1.00
5.45s,100839.86,0.952,0.896,1.00
5.50s,100840.10,0.931,0.901,1.00
5.55s,100840.27,0.918,0.903,1.00
5.60s,100840.77,0.876,0.900,1.00
5.65s,100840.94,0.863,0.895,1.00
5.70s,100840.21,0.923,0.898,1.00
5.75s,100839.86,0.952,0.906,1.00
5.80s,100840.38,0.907,0.906,1.00
5.85s,100840.21,0.923,0.908,1.00
5.90s,100840.03,0.937,0.912,1.00
5.95s,100839.70,0.966,0.919,1.00
6.00s,100839.70,0.966,0.925,1.00
6.05s,100839.70,0.966,0.930,1.00
6.10s,100839.86,0.952,0.933,1.00
6.15s,100839.70,0.966,0.938,1.00
6.20s,100840.44,0.902,0.933,1.00
6.25s,100840.27,0.918,0.931,1.00
6.30s,100840.83,0.870,0.923,1.00
6.35s,100840.83,0.870,0.916,1.00
6.40s,100840.67,0.884,0.912,1.00
6.45s,100840.50,0.900,0.910,1.00
6.50s,100840.50,0.900,0.909,1.00
6.55s,100840.50,0.900,0.908,1.00
6.60s,100840.50,0.900,0.907,1.00
6.65s,100841.00,0.857,0.900,1.00
6.70s,100840.50,0.900,0.900,1.00
6.75s,100840.50,0.900,0.900,1.00
6.80s,100841.07,0.852,0.894,1.00
6.85s,100841.00,0.857,0.889,1.00
6.90s,100841.69,0.799,0.877,1.00
6.95s,100841.17,0.841,0.872,1.00
7.00s,100840.67,0.884,0.874,1.00
7.05s,100840.89,0.865,0.873,1.00
7.10s,100840.50,0.900,0.876,1.00
7.15s,100840.50,0.900,0.879,1.00
7.20s,100840.16,0.926,0.885,1.00
7.25s,100839.99,0.942,0.893,1.00
7.30s,100840.50,0.900,0.894,1.00
7.35s,100841.52,0.781,0.879,1.00
7.40s,100841.91,0.781,0.866,1.00
7.46s,100841.52,0.812,0.859,1.00
7.51s,100841.40,0.823,0.854,1.00
7.55s,100841.58,0.807,0.848,1.00
7.61s,100841.58,0.807,0.843,1.00
7.66s,100841.94,0.791,0.836,1.00
7.71s,100841.77,0.791,0.830,1.00
7.76s,100841.44,0.820,0.829,1.00
7.80s,100841.94,0.778,0.822,1.00
7.86s,100841.94,0.778,0.816,1.00
7.91s,100841.24,0.836,0.819,1.00
7.96s,100841.94,0.778,0.813,1.00
8.01s,100840.83,0.870,0.821,1.00
8.06s,100840.83,0.870,0.827,1.00
8.10s,100840.83,0.870,0.833,1.00
8.15s,100841.40,0.823,0.832,1.00
8.21s,100841.58,0.807,0.829,1.00
8.26s,100841.77,0.791,0.824,1.00
8.31s,100841.77,0.791,0.819,1.00
8.35s,100841.94,0.778,0.814,1.00
8.40s,100841.75,0.794,0.811,1.00
8.46s,100841.94,0.778,0.807,1.00
8.51s,100841.77,0.791,0.805,1.00
8.56s,100841.77,0.791,0.803,1.00
8.60s,100840.99,0.857,0.810,1.00
8.65s,100841.16,0.844,0.815,1.00
8.71s,100840.58,0.892,0.825,1.00
8.76s,100839.74,0.963,0.843,1.00
8.81s,100839.74,0.963,0.859,1.00
8.85s,100839.23,1.005,0.878,1.00
8.90s,100839.07,1.018,0.897,1.00
8.96s,100838.69,1.050,0.917,1.00
9.01s,100838.72,1.048,0.934,1.00
9.06s,100839.63,0.971,0.939,1.00
9.10s,100839.97,0.942,0.939,1.00
9.15s,100839.39,0.992,0.946,1.00
9.21s,100839.63,1.005,0.954,1.00
9.26s,100839.80,0.958,0.955,1.00
9.31s,100839.46,0.987,0.959,1.00
9.35s,100839.63,0.929,0.955,1.00
9.40s,100841.39,0.826,0.938,1.00
