Cho cam bien on dinh nhiet...
Go 'S' + Enter de bo qua giai doan nay
Con lai: 15 giay...
Con lai: 10 giay...
Con lai: 5 giay...
Con lai: 4 giay...
Con lai: 3 giay...
Con lai: 2 giay...
Con lai: 1 giay...
# Xa mau nhieu (2.5 giay)...
# Lay trung binh P0 (10 giay)...
P0       = 101045.57 Pa
P0 min   = 101044.03 Pa
P0 max   = 101046.53 Pa
P0 spread= 2.50 Pa
# P0 on dinh cuc tot (spread <= 3 Pa) [OK]
Time_ms,StepID,StepName,Pressure_Pa,Temp_C,Alt_Raw_m,Alt_EMA_m
[BAC 0] Moc (Bac 0)
Dat cam bien tai MOC -> Gui bat ky ky tu nao + Enter de bat dau...
>> Bat dau do: Moc (Bac 0)
29899,0,Moc (Bac 0),101044.88,30.50,0.058,0.046
29949,0,Moc (Bac 0),101044.71,30.50,0.074,0.048
29999,0,Moc (Bac 0),101044.53,30.50,0.087,0.051
30049,0,Moc (Bac 0),101044.71,30.50,0.074,0.053
30099,0,Moc (Bac 0),101044.71,30.50,0.074,0.055
30149,0,Moc (Bac 0),101044.71,30.50,0.074,0.056
30199,0,Moc (Bac 0),101044.71,30.50,0.074,0.058
30249,0,Moc (Bac 0),101045.05,30.50,0.045,0.057
30299,0,Moc (Bac 0),101045.39,30.50,0.016,0.053
30349,0,Moc (Bac 0),101045.39,30.50,0.016,0.050
30399,0,Moc (Bac 0),101045.39,30.50,0.016,0.048
30449,0,Moc (Bac 0),101045.39,30.50,0.016,0.045
30499,0,Moc (Bac 0),101045.56,30.50,0.003,0.042
30550,0,Moc (Bac 0),101045.39,30.50,0.016,0.040
30600,0,Moc (Bac 0),101045.56,30.50,0.003,0.037
30650,0,Moc (Bac 0),101045.56,30.50,0.003,0.034
30700,0,Moc (Bac 0),101045.39,30.50,0.016,0.033
30750,0,Moc (Bac 0),101045.56,30.50,0.003,0.030
30800,0,Moc (Bac 0),101045.56,30.50,0.003,0.028
30850,0,Moc (Bac 0),101045.39,30.50,0.016,0.027
30900,0,Moc (Bac 0),101045.05,30.50,0.045,0.028
30950,0,Moc (Bac 0),101045.05,30.50,0.045,0.030
31000,0,Moc (Bac 0),101044.88,30.50,0.058,0.032
31050,0,Moc (Bac 0),101044.71,30.50,0.074,0.035
31100,0,Moc (Bac 0),101044.71,30.50,0.074,0.038
31150,0,Moc (Bac 0),101044.71,30.50,0.074,0.041
31200,0,Moc (Bac 0),101044.71,30.50,0.074,0.044
31250,0,Moc (Bac 0),101044.88,30.50,0.058,0.045
31300,0,Moc (Bac 0),101045.05,30.50,0.045,0.045
31350,0,Moc (Bac 0),101045.22,30.50,0.032,0.044
31400,0,Moc (Bac 0),101045.22,30.50,0.032,0.043
31450,0,Moc (Bac 0),101045.22,30.50,0.032,0.042
31500,0,Moc (Bac 0),101045.22,30.50,0.032,0.041
31550,0,Moc (Bac 0),101045.05,30.50,0.045,0.042
31600,0,Moc (Bac 0),101045.22,30.50,0.032,0.041
31650,0,Moc (Bac 0),101045.22,30.50,0.032,0.040
31700,0,Moc (Bac 0),101045.39,30.50,0.016,0.038
31750,0,Moc (Bac 0),101045.56,30.50,0.003,0.035
31800,0,Moc (Bac 0),101045.56,30.50,0.003,0.033
31850,0,Moc (Bac 0),101045.56,30.50,0.003,0.030
31900,0,Moc (Bac 0),101045.72,30.50,-0.016,0.027
31950,0,Moc (Bac 0),101045.89,30.50,-0.032,0.022
32000,0,Moc (Bac 0),101045.89,30.50,-0.032,0.018
32050,0,Moc (Bac 0),101045.89,30.50,-0.032,0.014
32100,0,Moc (Bac 0),101045.89,30.50,-0.032,0.010
32150,0,Moc (Bac 0),101046.07,30.50,-0.042,0.006
